Country,Year,service_male,
China,Year 2007,41.23899841,
China,Year 2008,42.38199997,
China,Year 2009,43.56299973,
China,Year 2010,44.63700104,
China,Year 2011,46.08800125,
China,Year 2012,47.51300049,
China,Year 2013,48.99499893,
China,Year 2014,50.54399872,
China,Year 2015,52.35400009,
China,Year 2016,53.52700043,
China,Year 2017,54.30599976,
Russian Federation,Year 2007,50.9640007,
Russian Federation,Year 2008,51.04399872,
Russian Federation,Year 2009,52.80899811,
Russian Federation,Year 2010,52.80899811,
Russian Federation,Year 2011,53.04000092,
Russian Federation,Year 2012,52.875,
Russian Federation,Year 2013,53.48199844,
Russian Federation,Year 2014,53.84899902,
Russian Federation,Year 2015,54.12599945,
Russian Federation,Year 2016,54.41999817,
Russian Federation,Year 2017,54.54000092,
India,Year 2007,29.29700089,
India,Year 2008,29.54899979,
India,Year 2009,29.49099922,
India,Year 2010,29.68000031,
India,Year 2011,30.39599991,
India,Year 2012,30.94000053,
India,Year 2013,31.86400032,
India,Year 2014,32.90599823,
India,Year 2015,34.15000153,
India,Year 2016,35.25699997,
India,Year 2017,35.90399933,
Brazil,Year 2007,50.15399933,
Brazil,Year 2008,50.19100189,
Brazil,Year 2009,50.87599945,
Brazil,Year 2010,51.63600159,
Brazil,Year 2011,52.23600006,
Brazil,Year 2012,54.15599823,
Brazil,Year 2013,54.31900024,
Brazil,Year 2014,55.18999863,
Brazil,Year 2015,56.23500061,
Brazil,Year 2016,57.70999908,
Brazil,Year 2017,57.69300079,
South_Africa,Year 2007,54.44300079,
South_Africa,Year 2008,58.2159996,
South_Africa,Year 2009,59.47499847,
South_Africa,Year 2010,61.52199936,
South_Africa,Year 2011,61.93199921,
South_Africa,Year 2012,62.36600113,
South_Africa,Year 2013,61.7519989,
South_Africa,Year 2014,62.02899933,
South_Africa,Year 2015,60.18299866,
South_Africa,Year 2016,61.03300095,
South_Africa,Year 2017,61.11500168,
